('individual', 'moments') 1
('special', 'effect') 1
('cast', 'phenomenal') 1
('potentially', 'sudsy') 1
('seen', 'work') 1
('small', 'rooms') 1
('along', 'bmovie') 1
('heft', 'elvira') 1
('dull', 'always') 1
('role', 'edit') 1
('full', 'detail') 1
('experience', 'plays') 1
('nutty', 'nothing') 1
('michael', 'moore') 2
('odd', 'rapt') 1
('rapes', 'pillages') 1
('screenplay', 'mesmerizing') 1
('watch', 'spend') 1
('people', 'opera') 1
('fiennes', 'plus') 1
('credit', 'affleck') 1
('theater', 'lobby') 1
('true', 'heartbreaking') 1
('pleasure', 'occasional') 1
('burning', 'blasting') 1
('major', 'movie') 1
('cinematic', 'history') 1
('shimizu', 'believable') 1
('reprehensible', 'manipulating') 1
('devastating', 'events') 1
('captures', 'halflit') 1
('psychology', 'real') 1
('haphazard', 'theatrical') 1
('carvey', 'glory') 1
('powerful', 'telling') 1
('look', 'israel') 1
('engaging', 'charisma') 1
('gymnastics', 'ca') 1
('story', 'vietnamese') 1
('drag', 'audience') 1
('follies', 'satirical') 1
('deemed', 'important') 1
('artist', 'awarded') 1
('theater', 'gaping') 1
('lrb', 'hayek') 1
('audience', 'speaks') 1
('play', 'ungainly') 1
('bathos', 'chamber') 1
('battle', 'good') 1
('stinker', 'quite') 1
('beauty', 'features') 1
('flaws', 'laid') 1
('comic', 'gutwrenching') 1
('holiday', 'season') 1
('laughs', 'inadvertent') 1
('hack', 'job') 1
('frequently', 'hilarious') 1
('surprise', 'despite') 1
('palatable', 'presentation') 1
('mattei', 'fosters') 1
('imitation', 'grand') 1
('yu', 'clearly') 1
('like', 'pearl') 1
('finally', 'achingly') 1
('following', 'things') 1
('rural', 'life') 1
('much', 'worse') 1
('remarkably', 'insightful') 1
('fascinating', 'compelling') 1
('ridiculous', 'moneyoriented') 1
('mention', 'mysterious') 1
('protagonists', 'struggled') 1
('powerful', 'director') 1
('embraced', 'sweetest') 1
('assembled', 'highly') 1
('result', 'however') 1
('pulls', 'feat') 1
('naturally', 'funny') 1
('early', 'middle') 1
('yet', 'permits') 1
('movie', 'core') 1
('bumps', 'st') 1
('adventure', 'grownups') 1
('comes', 'renowned') 1
('feels', 'dragged') 1
('inescapably', 'gorgeous') 1
('new', 'movie') 2
('actors', 'reaching') 1
('screen', 'bluer') 1
('unrealistic', 'camouflage') 1
('flaws', 'heaven') 1
('gives', 'new') 2
('harry', 'potter') 1
('end', 'walking') 1
('angry', 'version') 1
('partnerships', 'among') 1
('war', 'tribute') 1
('barely', 'hour') 1
('repulsive', 'depressing') 1
('intoxicating', 'documentary') 1
('particularly', 'joyless') 1
('extended', 'dialogue') 1
('neohitchcockianism', 'clever') 1
('phenomenal', 'band') 1
('complete', 'visible') 1
('caesar', 'stepped') 1
('elegant', 'eloquent') 1
('meandering', 'emotion') 1
('previously', 'gave') 1
('better', 'documentary') 1
('lot', 'talent') 1
('absolutely', 'essential') 1
('dark', 'extremities') 1
('working', 'surprisingly') 1
('would', 'churlish') 1
('well', 'worth') 4
('crossroads', 'nothing') 1
('exploitative', 'art') 1
('cheesy', 'screenplay') 1
('rare', 'combination') 1
('euphemism', 'urban') 1
('saw', 'bad') 1
('vile', 'enough') 1
('insecure', 'man') 1
('sucked', 'give') 1
('dickens', 'done') 1
('relocated', 'scuzzy') 1
('anyone', 'suffers') 1
('screenplay', 'written') 1
('unbearably', 'beautiful') 1
('gets', 'added') 1
('choose', 'skip') 1
('something', 'rare') 1
('likely', 'stupid') 1
('monument', 'single') 1
('first', 'act') 1
('closest', 'friends') 1
('scruffy', 'dopey') 1
('panoramic', 'shots') 1
('hanks', 'bad') 1
('matrix', 'tunney') 1
('rollicking', 'dark') 1
('understand', 'everyone') 1
('madness', 'remembered') 1
('film', 'good') 1
('disguise', 'fact') 2
('back', 'seat') 1
('mess', 'could') 1
('breathtaking', 'mystery') 1
('doubt', 'peter') 1
('legally', 'blonde') 1
('mess', 'thriller') 1
('sever', 'also') 1
('substance', 'movie') 1
('sincerity', 'unequivocally') 1
('downbeat', 'laughably') 1
('level', 'whatsoever') 1
('slight', 'yet') 1
('sloughs', 'one') 1
('breath', 'away') 1
('screen', 'first') 1
('rrb', 'choke') 1
('derivative', 'must') 1
('story', 'works') 1
('filmmaker', 'extraordinary') 1
('charms', 'found') 1
('one', 'whose') 1
('confessional', 'nonchalantly') 1
('boy', 'addition') 1
('metaphor', 'sharp') 1
('complete', 'shambles') 1
('natural', 'sportsmen') 1
('ripening', 'separation') 1
('halfhearted', 'paeans') 1
('inactive', 'film') 1
('sources', 'bad') 1
('love', 'convinced') 1
('chemistry', 'molina') 1
('dysfunctional', 'rampantly') 1
('find', 'film') 1
('bad', 'writing') 3
('overall', 'entertaining') 1
('script', 'reportedly') 1
('becomes', 'concept') 1
('enough', 'attempt') 1
('natural', 'lovely') 1
('new', 'title') 1
('trope', 'another') 1
('natural', 'sense') 1
('would', 'great') 1
('looks', 'like') 3
('foulnatured', 'christmas') 1
('laughter', 'real') 1
('film', 'gripping') 1
('seems', 'include') 1
('man', 'something') 1
('give', 'solid') 1
('intense', 'psychological') 1
('rhetoric', 'hollywood') 1
('fullfrontal', 'attack') 1
('many', 'levels') 1
('crossroads', 'feels') 1
('problem', 'antwone') 1
('r', 'xmas') 1
('words', 'writerdirector') 1
('pearls', 'clicking') 1
('minute', 'stink') 1
('joel', 'zwick') 1
('every', 'minute') 1
('best', 'ensemble') 1
('angela', 'gheorghiu') 1
('elbows', 'sticking') 1
('caught', 'gum') 1
('performances', 'cast') 1
('shows', 'little') 1
('love', 'history') 1
('easy', 'make') 1
('cliche', 'call') 1
('tale', 'hideously') 1
('eating', 'corn') 1
('enthusiasm', 'crush') 1
('skip', 'turd') 1
('live', 'selfpitying') 1
('projector', 'lens') 1
('playful', 'tone') 1
('ame', 'unnecessary') 1
('year', 'filmmakers') 1
('presents', 'yet') 1
('surprisingly', 'romantic') 1
('surrounded', 'debut') 1
('want', 'consummate') 1
('porridge', 'filmmakers') 1
('scenery', 'jones') 1
('run', 'gas') 1
('thriller', 'proves') 1
('rather', 'documentary') 1
('unfunny', 'none') 1
('compelling', 'drama') 1
('problems', 'characters') 1
('never', 'late') 1
('never', 'footage') 1
('stupid', 'irrelevant') 1
('version', 'candid') 1
('becomes', 'one') 1
('effortlessly', 'darkness') 1
('fan', 'opts') 1
('afterwards', 'music') 1
('film', 'original') 1
('dullard', 'beautifully') 1
('stately', 'pacing') 1
('forms', 'animated') 1
('napoli', 'faithful') 1
('bill', 'perfectly') 1
('movie', 'really') 3
('film', 'stage') 1
('rrb', 'cortez') 1
('interview', 'assassin') 1
('wry', 'affectionate') 1
('maybe', 'classic') 1
('cool', 'event') 1
('love', 'hour') 1
('sometimes', 'exceptional') 1
('enjoyably', 'fastmoving') 1
('years', 'dirty') 1
('swiftly', 'deteriorates') 1
('way', 'consider') 1
('life', 'survivable') 1
('recent', 'holiday') 1
('often', 'enough') 1
('daylewis', 'roars') 1
('comedy', 'ugh') 1
('music', 'videos') 1
('witless', 'mess') 1
('away', 'rest') 1
('intellectual', 'rigor') 1
('parables', 'actual') 1
('richly', 'internalized') 1
('movie', 'something') 1
('hybrid', 'idiotic') 1
('every', 'bit') 4
('scum', 'decided') 1
('chinese', 'immigrant') 1
('fresh', 'smart') 1
('unfolds', 'power') 1
('hospital', 'sickly') 1
('unfunny', 'showtime') 1
('bad', 'leaves') 1
('make', 'feel') 1
('carvey', 'considering') 1
('avoids', 'comic') 1
('found', 'groove') 1
('uneven', 'inconsistent') 1
('em', 'theatre') 1
('golden', 'book') 1
('pure', 'entertainment') 1
('come', 'amateurish') 1
('bit', 'enlightening') 1
('clarify', 'cinematic') 1
('smart', 'savvy') 1
('filmmaking', 'fifty') 1
('handled', 'fastedit') 1
('story', 'betterfocused') 1
('director', 'never') 1
('create', 'film') 1
('enough', 'clever') 1
('bone', 'body') 1
('movie', 'years') 1
('complex', 'filmmaking') 1
('script', 'though') 1
('know', 'orc') 1
('wonderfully', 'funny') 1
('allowed', 'use') 1
('good', 'solid') 1
('walked', 'runteldat') 1
('sketchy', 'workinprogress') 1
('suffers', 'overfamiliarity') 1
('bypassing', 'opportunity') 1
('funny', 'psychologically') 1
('deeply', 'appealing') 1
('experience', 'parents') 1
('cast', 'large') 1
('render', 'anything') 1
('love', 'longing') 1
('cutting', 'blurry') 1
('stiff', 'ponderous') 1
('transparent', 'script') 1
('evil', 'really') 1
('like', 'like') 1
('new', 'yorkers') 1
('nt', 'notice') 1
('pack', 'knitting') 1
('subculture', 'rules') 1
('threadbare', 'comic') 1
('time', 'get') 1
('brilliantly', 'written') 1
('thing', 'virtually') 1
('scooby', 'makes') 1
('jazzplaying', 'exterminator') 1
('simply', 'joy') 1
('crackles', 'rare') 1
('along', 'gangster') 1
('story', 'inspiring') 1
('jim', 'brown') 1
('saturday', 'morning') 2
('rice', 'novel') 1
('like', 'film') 2
('smartly', 'emphasizes') 1
('soulless', 'stupid') 1
('comprehension', 'poor') 1
('culture', 'headed') 1
('bonds', 'rarely') 1
('drama', 'set') 2
('world', 'lingerie') 1
('movie', 'pretty') 1
('amusing', 'comedies') 1
('dominated', 'cgi') 1
('everything', 'repeated') 1
('park', 'single') 1
('best', 'thing') 1
('derek', 'luke') 1
('life', 'dignity') 1
('walked', 'delicate') 1
('insult', 'intelligence') 1
('otherwise', 'fan') 1
('amazing', 'spiderman') 1
('thumbs', 'movie') 1
('sensual', 'emotionally') 1
('public', 'service') 1
('minkoff', 'screenwriter') 1
('stoops', 'characters') 1
('placement', 'movie') 1
('must', 'fans') 1
('wildly', 'entertaining') 1
('least', 'favorite') 1
('converted', 'wife') 1
('breathtaking', 'film') 1
('souls', 'risk') 1
('convince', 'us') 1
('daydreams', 'memories') 1
('may', 'many') 1
('documentary', 'little') 1
('heaven', 'bad') 1
('food', 'stealing') 1
('rock', 'n') 1
('hierarchy', 'ticketbuyers') 1
('disappointing', 'woody') 1
('good', 'guy') 1
('existing', 'photos') 1
('shallow', 'dimwitted') 2
('vapid', 'vehicle') 1
('audiences', 'rarely') 1
('work', 'speaks') 1
('colorful', 'biopic') 1
('remarkably', 'cohesive') 1
('topnotch', 'action') 1
('adaptation', 'glazed') 1
('fine', 'actors') 1
('effect', 'watching') 1
('bores', 'like') 1
('noir', 'reminded') 1
('film', 'moody') 1
('movie', 'effectively') 1
('wedding', 'contemporary') 1
('compelling', 'sensitive') 1
('one', 'purely') 1
('hyperreal', 'satire') 1
('laugh', 'therapy') 1
('made', 'life') 1
('exasperating', 'hard') 1
('struggled', 'feeling') 1
('mess', 'none') 1
('epps', 'neither') 1
('film', 'makers') 1
('date', 'movies') 1
('mankind', 'among') 1
('gap', 'film') 1
('mood', 'swiftly') 1
('highly', 'pleasurable') 1
('plotted', 'popcorn') 1
('prewwii', 'drama') 1
('oddly', 'moving') 1
('luridly', 'graphic') 1
('loud', 'witless') 1
('concept', 'doofus') 1
('confidence', 'feel') 1
('generosity', 'optimism') 1
('leaves', 'true') 1
('lesson', 'scratching') 1
('duration', 'film') 1
('bracing', 'intelligence') 1
('runs', 'balzac') 1
('look', 'real') 1
('hollywood', 'movie') 1
('point', 'everyone') 1
('like', 'dying') 1
('film', 'changing') 1
('uncanny', 'inevitable') 1
('soderbergh', 'like') 1
('splendid', 'production') 1
('galled', 'wasted') 1
('powerfully', 'drawn') 1
('elevate', 'superior') 1
('shapeless', 'documentary') 1
('terrific', 'b') 1
('recreates', 'atmosphere') 1
('exotic', 'locales') 1
('aliens', 'super') 1
('comingofage', 'story') 2
('action', 'movie') 4
('enjoying', 'immensely') 1
('flick', 'carvey') 1
('things', 'studio') 1
('portray', 'richard') 1
('l', 'jackson') 1
('movie', 'wellwritten') 1
('grand', 'fart') 1
('goodtime', 'shenanigans') 1
('sayles', 'take') 1
('feat', 'aplomb') 1
('satisfyingly', 'odd') 1
('excuse', 'play') 1
('whose', 'riveting') 1
('loud', 'brash') 1
('still', 'want') 1
('rarely', 'sex') 1
('film', 'aimed') 1
('paxton', 'falling') 1
('uninhibited', 'performances') 1
('cinema', 'painted') 1
('rrb', 'real') 1
('ms', 'seigner') 1
('tightrope', 'farcical') 1
('kiddie', 'flick') 1
('ways', 'lessthanthrilling') 1
('stale', 'moving') 1
('see', 'blue') 1
('amusing', 'characters') 1
('communal', 'festival') 1
('skill', 'film') 1
('us', 'people') 1
('proud', 'message') 1
('disguise', 'runs') 1
('going', 'go') 1
('italianlanguage', 'soundtrack') 1
('thcentury', 'crime') 1
('knack', 'casting') 1
('one', 'mexico') 1
('events', 'seemingly') 1
('sensual', 'entertainment') 1
('nt', 'see') 1
('dance', 'practiced') 1
('scope', 'yet') 1
('high', 'originality') 1
('music', 'story') 1
('pressure', 'cooker') 1
('situations', 'characters') 1
('scenes', 'swordfights') 1
('flimsy', 'worse') 1
('feat', 'thinking') 1
('bad', 'thought') 1
('runs', 'pure') 1
('steal', 'heart') 1
('audience', 'heartwarming') 1
('feeling', 'like') 1
('thriller', 'remarkable') 2
('utilizing', 'talents') 1
('care', 'decrepit') 1
('together', 'new') 1
('director', 'emerging') 1
('silly', 'outrageous') 1
('polanski', 'pianist') 1
('lived', 'brash') 1
('given', 'part') 1
('chris', 'rock') 1
('little', 'drama') 1
('bit', 'mishmash') 1
('renaissance', 'spain') 1
('atmospherics', 'genuine') 1
('apparently', 'lrb') 1
('geneva', 'film') 1
('rhythm', 'going') 1
('especially', 'charm') 1
('yet', 'nonexistent') 1
('boring', 'talking') 1
('fifty', 'car') 1
('give', 'movie') 2
('easily', 'one') 1
('spent', 'hour') 1
('camouflage', 'carvey') 1
('us', 'think') 1
('history', 'buffs') 1
('mib', 'ii') 1
('definitive', 'answers') 1
('characters', 'believable') 2
('tribute', 'actress') 1
('generic', 'rock') 1
('charming', 'thoughtprovoking') 1
('film', 'compelling') 1
('indepth', 'portrait') 1
('previous', 'concert') 1
('jackson', 'also') 1
('hopefully', 'sets') 1
('dumbo', 'certainly') 1
('visually', 'ravishing') 1
('get', 'like') 1
('struggles', 'working') 1
('charismatic', 'jackie') 1
('book', 'sprung') 1
('refers', 'incessantly') 1
('punishment', 'simultaneously') 1
('might', 'wishing') 1
('overacted', 'boozy') 1
('intellect', 'feeling') 1
('big', 'summer') 1
('someday', 'offensive') 1
('prom', 'dates') 1
('ourside', 'theatre') 1
('reel', 'minutes') 1
('instead', 'making') 1
('tapestry', 'woven') 1
('together', 'energy') 1
('beauty', 'images') 1
('juan', 'jose') 1
('years', 'russian') 2
('tolkien', 'middleearth') 1
('hint', 'artifice') 1
('matter', 'characters') 1
('long', 'goes') 1
('yarn', 'holds') 1
('hand', 'makes') 1
('oscarworthy', 'even') 1
('could', 'fit') 1
('time', 'nothing') 1
('testosterone', 'entertainment') 1
('call', 'prevention') 1
('process', 'followed') 1
('ethical', 'philosophical') 1
('feels', 'accidental') 1
('somewhere', 'lies') 1
('bad', 'name') 1
('artfully', 'problems') 1
('new', 'relevance') 1
('years', 'hollywood') 1
('moving', 'director') 1
('objectivity', 'refusal') 1
('virtually', 'unwatchable') 1
('cheeky', 'charm') 1
('busy', 'making') 1
('american', 'lrb') 1
('lot', 'fun') 2
('refreshed', 'precious') 1
('seat', 'changing') 1
('approach', 'make') 1
('kieslowski', 'lyrical') 1
('never', 'come') 2
('characters', 'ramble') 1
('telling', 'creepy') 1
('lyrical', 'variations') 1
('lovely', 'pace') 1
('filmmaking', 'assurance') 1
('film', 'especially') 1
('daniel', 'steven') 1
('jolt', 'backstage') 1
('life', 'deep') 1
('seen', 'many') 1
('lost', 'target') 1
('performed', 'nt') 1
('comedy', 'subversive') 1
('provides', 'invaluable') 1
('materalism', 'impresses') 1
('disposable', 'piece') 1
('simplicity', 'driven') 1
('steadfast', 'refusal') 1
('irritating', 'movie') 1
('toback', 'heidegger') 1
('movie', 'many') 1
('resident', 'evil') 1
('film', 'de') 1
('turkey', 'would') 1
('movie', 'unspeakably') 1
('score', 'grant') 1
('like', 'something') 2
('drama', 'actually') 1
('essentially', 'subculture') 1
('waste', 'generic') 1
('steadily', 'building') 1
('messy', 'uncouth') 1
('instead', 'sure') 1
('kid', 'sort') 1
('heart', 'barbershop') 1
('uncouth', 'incomprehensible') 1
('nothing', 'interesting') 1
('holes', 'sink') 1
('mention', 'absolutely') 1
('nation', 'insanely') 1
('movie', 'prescribed') 1
('cohesive', 'piece') 1
('mud', 'worthwhile') 1
('daniel', 'auteuil') 1
('movie', 'big') 1
('extremities', 'terms') 1
('rubbish', 'listless') 1
('play', 'one') 1
('graceful', 'work') 1
('child', 'acting') 1
('like', 'futile') 1
('wry', 'sprightly') 1
('utterly', 'inept') 1
('film', 'slambang') 1
('movie', 'formulaic') 1
('lousy', 'director') 1
('understand', 'anyone') 1
('large', 'cast') 1
('hastily', 'mounted') 1
('celebi', 'could') 1
('mounting', 'tension') 1
('hot', 'chick') 2
('passion', 'region') 1
('film', 'busy') 1
('quirky', 'tunes') 1
('would', 'make') 1
('organizing', 'big') 1
('fabric', 'hypnotic') 1
('may', 'overstating') 1
('consistently', 'clever') 1
('wellformed', 'satire') 1
('shows', 'great') 1
('often', 'catapulting') 1
('leaving', 'theater') 1
('exterior', 'unabashedly') 1
('jrr', 'tolkien') 1
('offerings', 'poignant') 1
('welcome', 'ragbag') 1
('assured', 'vital') 1
('favourite', 'emotions') 1
('near', 'virtuosity') 1
('water', 'may') 1
('derivative', 'elements') 1
('insecure', 'lovely') 1
('paycheck', 'mustsee') 1
('overexposed', 'waste') 1
('film', 'arrives') 1
('delightful', 'cast') 1
('like', 'edward') 1
('pleasurable', 'warm') 1
('insight', 'matter') 1
('themes', 'capped') 1
('makes', 'us') 1
('surely', 'read') 1
('bright', 'blood') 1
('life', 'aimless') 1
('imagemongering', 'wonder') 1
('mordantly', 'humorous') 1
('cgi', 'aliens') 1
('nimble', 'dramas') 1
('fails', 'live') 1
('ohsoimportant', 'category') 1
('iheardajoke', 'atafratparty') 1
('history', 'culture') 1
('film', 'could') 2
('full', 'regalia') 1
('subjects', 'deaths') 1
('documentary', 'dazzling') 1
('fresh', 'executed') 1
('relentlessly', 'downbeat') 1
('unfolds', 'predictably') 1
('movie', 'less') 1
('least', 'minutes') 1
('rising', 'star') 1
('essentially', 'juiceless') 1
('doubt', 'would') 1
('elephant', 'feces') 1
('neither', 'funny') 1
('retread', 'hobbled') 1
('period', 'pieces') 1
('cast', 'best') 1
('watch', 'thirty') 1
('mess', 'scummy') 1
('watch', 'features') 1
('take', 'many') 1
('potato', 'infuriating') 1
('hours', 'precious') 1
('movie', 'happened') 1
('tickles', 'funny') 1
('paradiso', 'tale') 1
('performances', 'missing') 1
('deathdefying', 'efforts') 1
('extremely', 'bad') 1
('richard', 'dawson') 1
('stillborn', 'executed') 1
('one', 'terrifying') 1
('great', 'piece') 1
('land', 'reliable') 1
('pity', 'lrb') 1
('spirited', 'imaginative') 1
('worst', 'film') 3
('fascinating', 'real') 1
('characters', 'whose') 1
('come', 'away') 1
('simple', 'working') 1
('part', 'worthy') 1
('makes', 'failure') 1
('mean', 'still') 1
('tale', 'twisted') 1
('giveandtake', 'conversations') 1
('lead', 'performances') 2
('something', 'wholly') 1
('fact', 'load') 1
('us', 'forget') 1
('indignant', 'preemptive') 1
('best', 'kind') 1
('tonally', 'uneven') 1
('brand', 'romantic') 1
('quashed', 'whatever') 1
('vividly', 'conveys') 1
('holiday', 'movies') 1
('looks', 'ease') 1
('could', 'worst') 1
('hilarious', 'humorous') 1
('rerun', 'powerpuff') 1
('superficial', 'forced') 1
('performances', 'sparkling') 1
('maggie', 'smith') 1
('yes', 'snaillike') 1
('dignity', 'perfect') 1
('enjoy', 'rewarded') 1
('also', 'keep') 1
('idea', 'way') 1
('feel', 'alive') 1
('intellect', 'root') 1
('peppered', 'witty') 1
('art', 'skip') 1
('less', 'compelling') 1
('summer', 'hopefully') 1
('time', 'moviegoers') 1
('variant', 'nincompoop') 1
('imagination', 'insight') 1
('sympathetic', 'damage') 1
('offers', 'chills') 1
('appearance', 'clinical') 1
('camera', 'work') 2
('head', 'hands') 1
('art', 'ethics') 1
('little', 'home') 1
('beast', 'case') 1
('floor', 'enjoyable') 1
('today', 'years') 1
('natural', 'acting') 1
('times', 'saw') 1
('heartfelt', 'comedy') 1
('careful', 'wish') 1
('may', 'pleased') 1
('improperly', 'hammy') 1
('washington', 'certainly') 1
('sardonic', 'wit') 1
('made', 'lrb') 2
('film', 'calm') 1
('absolute', 'joy') 1
('illequipped', 'examine') 1
('rare', 'directors') 1
('embarrassed', 'invention') 1
('proves', 'deft') 1
('frailty', 'offers') 1
('touching', 'british') 1
('besides', 'terrific') 1
('bad', 'cinema') 2
('glimpse', 'sort') 1
('helm', 'traditionally') 1
('simply', 'movie') 1
('snooze', 'one') 1
('film', 'hope') 1
('overcome', 'gaps') 1
('leave', 'loser') 1
('pleasure', 'laidback') 1
('looks', 'belongs') 1
('need', 'bad') 1
('powerful', 'direction') 1
('eclipses', 'nearly') 1
('needs', 'overcome') 1
('care', 'fires') 1
('execution', 'dearth') 1
('muddled', 'melodramatic') 1
('onetrick', 'pony') 1
('secretary', 'manages') 1
('undercurrent', 'places') 1
('heartwarming', 'lrb') 1
('personally', 'rather') 1
('lot', 'things') 1
('nicely', 'understated') 1
('dull', 'visually') 1
('spellbinding', 'serpent') 1
('seen', 'jackass') 1
('wildandwoolly', 'walltowall') 1
('rather', 'way') 1
('soar', 'miraculous') 1
('nt', 'reveal') 1
('atlantic', 'biologically') 1
('ever', 'wondered') 1
('movies', 'years') 2
('terms', 'style') 1
('elicit', 'sense') 1
('dong', 'rrb') 1
('see', 'unique') 1
('honest', 'film') 1
('center', 'though') 1
('gives', 'superb') 1
('getting', 'skin') 1
('jokes', 'flat') 1
('uncommonly', 'sincere') 1
('put', 'together') 2
('first', 'sight') 1
('respect', 'rarely') 1
('delving', 'required') 1
('hiphop', 'also') 1
('refreshed', 'hopeful') 1
('improve', 'things') 1
('something', 'wrong') 1
('interest', 'adult') 1
('lesson', 'one') 1
('narrative', 'momentum') 1
('masterpiece', 'tries') 1
('poetry', 'ends') 1
('funny', 'serious') 1
('industry', 'make') 1
('twisty', 'yarn') 1
('loved', 'first') 1
('one', 'left') 1
('oneliners', 'snappy') 1
('come', 'thumbs') 1
('comedy', 'environmental') 1
('life', 'short') 1
('seeing', 'trite') 1
('years', 'costly') 1
('detailed', 'personal') 1
('barely', 'registering') 1
('women', 'mother') 1
('beautiful', 'human') 1
('classic', 'would') 1
('massoud', 'whose') 1
('anything', 'get') 1
('arty', 'theorizing') 1
('wrought', 'film') 1
('years', 'ago') 6
('overcome', 'personal') 1
('precarious', 'balance') 1
('gondry', 'restate') 1
('creepy', 'intimacy') 1
('almost', 'unbearably') 1
('suspended', 'like') 1
('largely', 'small') 1
('artsploitation', 'movie') 1
('important', 'love') 1
('script', 'david') 1
('female', 'protagonist') 1
('almodovar', 'movie') 1
('simple', 'telling') 1
('diabolical', 'debut') 1
('frames', 'makes') 1
('unconventional', 'gutsy') 1
('verbal', 'deportment') 1
('go', 'around') 1
('resourceful', 'amnesiac') 1
('war', 'zone') 1
('michael', 'gondry') 1
('compelling', 'amusing') 1
('cast', 'made') 1
('talk', 'hours') 1
('redemption', 'begins') 1
('sequences', 'well') 1
('delight', 'us') 1
('role', 'teethclenching') 1
('us', 'debut') 1
('director', 'taking') 1
('crass', 'contrived') 1
('ambitious', 'moving') 1
('delights', 'funny') 1
('fight', 'scenes') 1
('shockingly', 'bad') 1
('color', 'creativity') 1
('friday', 'series') 1
('painfully', 'unfunny') 1
('takes', 'nickleby') 1
('year', 'selection') 1
('exceedingly', 'dull') 1
('new', 'jangle') 1
('lazy', 'writing') 1
('right', 'though') 1
('characters', 'move') 1
('pacing', 'deadly') 1
('latest', 'adam') 1
('legendary', 'wit') 1
('harrowing', 'uplifting') 1
('wonderful', 'performances') 1
('lrb', 'ages') 1
('portrayal', 'man') 1
('thing', 'intelligent') 1
('fresh', 'unforced') 1
('cheeky', 'acting') 1
('bars', 'nearly') 1
('decided', 'lack') 1
('inept', 'serving') 1
('relevant', 'today') 1
('expert', 'thriller') 1
('best', 'sequel') 1
('casting', 'often') 1
('strangely', 'sinister') 1
('like', 'rudy') 1
('celebration', 'sounds') 1
('six', 'times') 1
('concrete', 'story') 1
('movie', 'since') 1
('rrb', 'wants') 1
('best', 'insideshowbiz') 1
('none', 'original') 1
('furiously', 'funny') 1
('tour', 'de') 2
('crude', 'humor') 1
('moviemaking', 'simone') 1
('eloquently', 'symbiotic') 1
('ah', 'yes') 2
('inventive', 'mordantly') 1
('one', 'arresting') 1
('another', 'grossout') 1
('gives', 'hollywood') 1
('often', 'touching') 1
('realistic', 'nonexploitive') 1
('towards', 'audience') 1
('nice', 'casual') 1
('unnecessary', 'addition') 1
('writing', 'interested') 1
('becomes', 'testament') 1
('mesmerizing', 'mr') 1
('dialog', 'ohso') 1
('dreamlike', 'ecstasy') 1
('selfindulgence', 'brings') 1
('surplus', 'vintage') 1
('makes', 'much') 1
('years', 'poetry') 1
('tells', 'poignant') 1
('way', 'originality') 1
('astounding', 'number') 1
('feels', 'free') 1
('director', 'george') 1
('animal', 'planet') 2
('steve', 'martin') 1
('mixture', 'visual') 1
('film', 'leaves') 1
('film', 'whiteknuckled') 1
('instinct', 'duck') 1
('art', 'catch') 1
('lrb', 'macdowell') 1
('devoid', 'merit') 1
('rain', 'far') 1
('sheets', 'change') 1
('moment', 'believe') 1
('documentary', 'fails') 1
('achieving', 'modest') 1
('gradually', 'becomes') 1
('arts', 'disintegrating') 1
('head', 'guarantee') 1
('impersonation', 'director') 1
('place', 'indoors') 1
('tenderness', 'loss') 1
('nice', 'album') 1
('discovered', 'indulged') 1
('terrorism', 'really') 1
('acting', 'script') 1
('swill', 'hot') 1
('remain', 'interested') 1
('effects', 'early') 1
('might', 'well') 1
('justice', 'elegantly') 1
('goes', 'nowhere') 3
('arresting', 'image') 1
('nt', 'bright') 1
('scientist', 'figure') 1
('ugly', 'nt') 1
('surprisingly', 'engrossing') 1
('trying', 'say') 1
('felt', 'movie') 1
('still', 'much') 1
('budget', 'sense') 1
('immature', 'unappealing') 1
('many', 'challenges') 1
('throwback', 'action') 1
('maelstrom', 'strange') 1
('laughs', 'anyone') 1
('hithungry', 'british') 1
('observations', 'longlived') 1
('opaque', 'interesting') 1
('rejects', 'patent') 1
('innocence', 'idealism') 1
('human', 'moments') 1
('intriguing', 'bit') 1
('delightfully', 'compatible') 1
('motown', 'best') 1
('us', 'care') 1
('unfunny', 'lacking') 1
('taps', 'deep') 1
('wondered', 'would') 1
('quite', 'simply') 2
('celluloid', 'heaven') 1
('mr', 'spielberg') 1
('look', 'truetolife') 1
('making', 'ong') 1
('southern', 'adolescence') 1
('manipulative', 'dud') 1
('war', 'paranoia') 1
('best', 'disney') 1
('social', 'satire') 1
('much', 'dismay') 1
('mention', 'apart') 1
('charm', 'works') 1
('audiences', 'unfaithful') 1
('emotion', 'analyze') 1
('arliss', 'howard') 1
('audience', 'head') 1
('delightful', 'highly') 1
('could', 'spirited') 1
('created', 'film') 1
('believable', 'mother\\daughter') 1
('children', 'adults') 1
('infantile', 'redundant') 1
('dot', 'com') 1
('performances', 'throughout') 1
('realized', 'clever') 1
('introspective', 'entertaining') 1
('value', 'daily') 1
('trite', 'predictable') 1
('dirty', 'deeds') 1
('bears', 'never') 1
('fascinating', 'look') 1
('find', 'dreary') 1
('movie', 'rrb') 1
('going', 'released') 1
('picture', 'nt') 1
('songbird', 'britney') 1
('ballistic', 'ecks') 2
('works', 'seen') 1
('psychological', 'thriller') 3
('woman', 'whose') 1
('historical', 'reality') 1
('twinkling', 'eyes') 1
('love', 'rarely') 1
('lit', 'major') 1
